1,0.000002
11,0.000004
21,0.000005
31,0.000008
41,0.000009
51,0.000012
61,0.000014
71,0.000018
81,0.000021
91,0.000024
101,0.000027
111,0.000030
121,0.000032
131,0.000036
141,0.000039
151,0.000129
161,0.000036
171,0.000039
181,0.000041
191,0.000044
201,0.000046
211,0.000046
221,0.000048
231,0.000050
241,0.000052
251,0.000053
261,0.000059
271,0.000064
281,0.000067
291,0.000068
301,0.000072
311,0.000074
321,0.000076
331,0.000077
341,0.000077
351,0.000080
361,0.000088
371,0.000086
381,0.000091
391,0.000095
401,0.000100
411,0.000104
421,0.000106
431,0.000111
441,0.000113
451,0.000112
461,0.000113
471,0.000122
481,0.000128
491,0.000128
501,0.000132
511,0.000136
521,0.000142
531,0.000146
541,0.000149
551,0.000152
561,0.000201
571,0.000158
581,0.000162
591,0.000165
601,0.000169
611,0.000171
621,0.000173
631,0.000157
641,0.000163
651,0.000169
661,0.000178
671,0.000285
681,0.000192
691,0.000177
701,0.000188
711,0.000196
721,0.000195
731,0.000210
741,0.000198
751,0.000212
761,0.000213
771,0.000110
781,0.000115
791,0.000119
801,0.000121
811,0.000117
821,0.000121
831,0.000121
841,0.000131
851,0.000122
861,0.000127
871,0.000156
881,0.000132
891,0.000133
901,0.000134
911,0.000144
921,0.000139
931,0.000140
941,0.000136
951,0.000138
961,0.000150
971,0.000139
981,0.000156
991,0.000150
